ID,Pregunta,A,B,C,D,Respuesta,Tipo
209,El bienestar universitario en Bellas Artes ofrece programas de apoyo psicológico y acompañamiento estudiantil.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
210,La misión institucional de Bellas Artes no está centrada en el arte y el diseño como herramientas de transformación social.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
211,El egresado del programa de Diseño Gráfico está preparado para trabajar en medios digitales y tradicionales.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
212,Los créditos académicos del programa de Diseño Gráfico no son reconocidos en otras universidades del país.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
213,El programa de Diseño Gráfico ofrece espacios de investigación y creación artística para los estudiantes.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
214,Los servicios de bienestar universitario en Bellas Artes incluyen actividades deportivas, culturales y de recreación.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
215,La biblioteca de Bellas Artes ofrece acceso a bases de datos especializadas en diseño gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
216,Los créditos académicos son irrelevantes en el proceso de acreditación del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
217,El perfil profesional del egresado de Diseño Gráfico incluye el dominio de herramientas digitales y tecnológicas.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
218,El plan de estudios del programa de Diseño Gráfico está diseñado para cumplir con 126 créditos obligatorios.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
219,El bienestar universitario no ofrece ningún tipo de beca o apoyo financiero a los estudiantes de Bellas Artes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
220,El perfil del egresado de Diseño Gráfico no incluye habilidades de investigación y análisis crítico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
221,El Instituto Departamental de Bellas Artes tiene un enfoque pedagógico basado en la interdisciplinariedad.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
222,La biblioteca de Bellas Artes no permite el préstamo de materiales físicos ni digitales para los estudiantes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
223,Los egresados de Diseño Gráfico pueden desempeñarse como directores de arte en agencias de publicidad.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
224,Los créditos académicos en Diseño Gráfico están organizados en ciclos de fundamentación y creación.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
225,La misión de Bellas Artes incluye la formación de profesionales con conciencia social y crítica.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
226,El perfil del egresado no contempla el manejo ético de la comunicación visual.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
227,El programa de Diseño Gráfico incluye la participación en proyectos de proyección social.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
228,Los créditos académicos del programa de Diseño Gráfico pueden ser homologados en otros programas del mismo campo.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
229,El perfil del egresado de Diseño Gráfico incluye la capacidad de liderar proyectos de impacto social.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
230,La biblioteca de Bellas Artes está abierta solo durante el horario de clases.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
231,Los estudiantes de Diseño Gráfico tienen acceso a actividades extracurriculares ofrecidas por bienestar universitario.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
232,El perfil del egresado de Diseño Gráfico no incluye habilidades en innovación y creatividad.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
233,El Instituto Departamental de Bellas Artes fomenta la investigación en sus programas académicos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
234,Los créditos académicos no son necesarios para obtener el título de diseñador gráfico en Bellas Artes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
235,El bienestar universitario de Bellas Artes incluye talleres de desarrollo personal y habilidades blandas.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
236,La biblioteca de Bellas Artes ofrece acceso a recursos digitales y físicos especializados en artes visuales.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
237,El perfil del egresado de Diseño Gráfico no incluye habilidades de trabajo en equipo.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
238,El bienestar universitario de Bellas Artes no organiza actividades culturales para los estudiantes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
239,El perfil del egresado de Diseño Gráfico incluye competencias para enfrentar los desafíos del diseño sostenible.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
240,Los créditos académicos en el programa de Diseño Gráfico están distribuidos entre teoría y práctica.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
241,La misión del Instituto Departamental de Bellas Artes no incluye el desarrollo integral de sus estudiantes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
242,El programa de Diseño Gráfico permite la participación de los estudiantes en proyectos de investigación aplicada.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
243,El perfil del egresado de Diseño Gráfico incluye el uso ético de las tecnologías de la información.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
244,Los estudiantes de Diseño Gráfico no tienen acceso a asesorías académicas a través del bienestar universitario.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
245,El plan de estudios de Diseño Gráfico está diseñado para fomentar el pensamiento crítico y la creatividad.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
246,Los créditos académicos del programa de Diseño Gráfico están divididos en asignaturas obligatorias y electivas.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
247,El perfil del egresado de Diseño Gráfico no incluye habilidades para la gestión de proyectos.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
248,La biblioteca de Bellas Artes no tiene convenios con otras bibliotecas o instituciones académicas.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
249,El bienestar universitario en Bellas Artes fomenta el desarrollo de habilidades blandas en los estudiantes.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
250,El perfil del egresado de Diseño Gráfico incluye la capacidad de trabajar en proyectos que involucren a comunidades locales.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
